option,implementation,n,block_size,threads,runs,time_s_avg,gflops_avg,joules_avg,watts_avg,speedup,efficiency
5,sycl_basic,7168,32,,3,11.826466666666667,20.760966666666665,200.3868643333333,16.943942333333336,9.759860651533002,
5,sycl_basic,7168,64,,3,11.827366666666668,20.7594,201.279859,17.018162333333333,9.759117977797255,
5,sycl_basic,7168,128,,3,11.826133333333333,20.761566666666667,197.39694699999998,16.691587,9.760135744565709,
5,sycl_basic,8192,32,,3,17.57936666666667,20.8485,289.9884313333333,16.49595066666667,9.520707041019676,
5,sycl_basic,8192,64,,3,17.579933333333333,20.84783333333333,288.62584633333336,16.417891333333333,9.520400153204978,
5,sycl_basic,8192,128,,3,17.57943333333333,20.848433333333336,287.9062433333333,16.377449333333335,9.520670935543997,
6,sycl_block,1024,32,,3,0.21250503333333334,15.324390000000001,4.3860953333333335,18.718303000000002,0.46480310819304516,
6,sycl_block,1024,64,,3,0.04261666666666667,16.802400000000002,0.8244866666666667,19.303729999999998,2.3177082518576455,
6,sycl_block,1024,128,,3,0.04315593333333334,16.587033333333334,0.7975563333333332,18.481136666666668,2.288746699951648,
6,sycl_block,2048,32,,3,0.17915500000000004,33.5554,3.6088926666666663,20.164953999999998,10.929269812918049,
6,sycl_block,2048,64,,3,0.14971900000000002,38.24913333333333,3.1460163333333333,21.013051,13.078055112132283,
6,sycl_block,2048,128,,3,0.14951199999999998,38.302099999999996,3.1211816666666667,20.87571133333333,13.096161735066977,
6,sycl_block,3072,32,,3,0.46110133333333336,41.91563333333333,8.865030666666668,19.225794666666665,16.463691278272886,
6,sycl_block,3072,64,,3,0.46084366666666665,41.939033333333334,8.774611333333333,19.04034233333333,16.472896448614897,
6,sycl_block,3072,128,,3,0.46047333333333335,41.972833333333334,9.68378,21.032231,16.486144691694054,
6,sycl_block,4096,32,,3,1.03292,44.353,18.01710466666667,17.44293233333333,18.381965689501605,
6,sycl_block,4096,64,,3,1.0554066666666666,43.42933333333334,18.712111333333333,17.72575,17.990316528857754,
6,sycl_block,4096,128,,3,1.0331433333333333,44.3433,18.665996333333336,18.067216666666667,18.37799208241515,
6,sycl_block,5120,32,,3,2.0419566666666666,43.82006666666666,37.268239666666666,18.251266,19.846487111218487,
6,sycl_block,5120,64,,3,2.0408033333333333,43.845,37.93870166666667,18.590050666666667,19.857703094043032,
